# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Taxonomy information extracted from EMO taxonomy_info.csv.
# ----------------------------------------------------------------------

Taxon name	Type	ORID	WOD included	AphiaID_of the accepted name	Accepted name	Order	Family	Genus	Species	Identifier	Description	Remarks
Brachycythere plena		283	Y	776318.0	Brachycythere plena (Alexander, 1934)	Podocopida	Brachycytheridae	Brachycythere	Brachycythere plena	Alexander, 1934		
Brachycythere sp.		843	Na_sp.									
Bradleya dictyonites		101	Y_subgenus elevated to genus level	794402.0	Quasibradleya dictyonites (Benson, 1972)	Podocopida	Thaerocytheridae	Quasibradleya	Quasibradleya dictyonites	Benson, 1972	Benson, R.H. (1972). The Bradleya Problem, with descriptions of two new psychrospheric ostracode genera, Agrenocythere and Poseidonamicus (Ostracoda: Crustacea). Smithsonian Contributions to Paleobiology. (12), 1-138.	
Bradleya opima		102	Y	461427.0	Bradleya opima (Swanson, 1979)	Podocopida	Thaerocytheridae	Bradleya	Bradleya opima	Swanson, 1979	Swanson, K. M. (1979). The marine fauna of New Zealand: ostracods of the Otago Shelf. New Zealand Oceanographic Institute Memoir No. 78: 1-56.	
Bradleya proarata		103	Y	517555.0	Bradleya proarata (Hornibrook, 1952)	Podocopida    	Thaerocytheridae	Bradleya	Bradleya proarata	Hornibrook, 1952	Hornibrook, N. B. (1952). Tertiary and recent marine Ostracoda of New Zealand, their origin affinities and distribution. New Zealand Geological Survey, Paleontological Bulletin. 18: 1-82.	
Bradleya sp.		385	Na_sp.									
Bradleya tongaensis		943	Y	776399.0	Bradleya tongaensis (Hazel & Holden, 1971)	Podocopida    	Thaerocytheridae	Bradleya	Bradleya tongaensis	Hazel & Holden, 1971	Hazel, J E; Holden, J. (1971). Ostracoda of Late Eocene Age from Eua, Tonga. Discription and discussion of the paleoenvironmental significance of ostracodes from an upper Eocene locality on Eua, Tonga. U.S.Geological Survey Professional Paper, 640-D, 1-11	
Buntonia attitogonensis		696	Y	776548.0	Buntonia attitogonensis (Apostolescu, 1961)	Podocopida    	Thaerocytheridae	Buntonia	Buntonia attitogonensis	Apostolescu, 1961	Apostolescu, V. (1961). Contribution à l´étude paléontologique (Ostracodes) et stratigraphique des bassins Crétacés et tertiaires de l´Afrique occidentale. Revue de l'Institut Francais du Petrole et Annales des Combustibles Liquides. 16 (7-8): 779-867.	
Buntonia boldi		844	Y	776551.0	Buntonia boldi (Khosla, 1973)	Podocopida    	Thaerocytheridae	Buntonia	Buntonia boldi	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	
Buntonia delta		781	Y	776561.0	Buntonia delta (Marianos & Valentine, 1958)	Podocopida    	Thaerocytheridae	Buntonia	Buntonia delta	Marianos & Valentine, 1958	Marianos, A. W.; Valentine, J. W. (1958). Eocene ostracode fauna from Marysville Buttes, California. Micropaleontology. 4 (4): 363-372.	
Buntonia livida		697	N									
Buntonia ramosa		916	N									
Buntonia rimosa		347	N									
Buntonia royi		770	N									
Buntonia seco		782	Y	776613.0	Buntonia seco (Marianos & Valentine, 1958)	Podocopida    	Thaerocytheridae	Buntonia	Buntonia seco	Marianos & Valentine, 1958	Marianos, A. W.; Valentine, J. W. (1958). Eocene ostracode fauna from Marysville Buttes, California. Micropaleontology. 4 (4): 363-372.	
Buntonia shubutaensis		806	Y	776616.0	Buntonia shubutaensis (Howe, 1935)	Podocopida    	Thaerocytheridae	Buntonia	Buntonia shubutaensis	Howe, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	
Buntonia sp.		344/345	Na_sp.									
Buntonia tatteuliensis		698	N									
Buntonia tichittensis		917	N									
Bythoceratina dubia		104	Y	391396.0	Bythoceratina dubia (Müller, 1908)	Podocopida    	Bythocytheridae	Bythoceratina 	Bythoceratina dubia	Müller, 1908	Müller, G.W., 1908. Die Ostrakoden der Deutschen Südpolar-Expedition 1901-1903. Deutsche Südpolar-Expedition 1901-1903 im Auftrage des Reichsamtes des Innern 2(4) :51-182.	
Bythocypris adunca		659	Y_unaccepted_new combination	772366.0	Abyssocypris adunca (Esker, 1968)	Podocopida    	Pontocyprididae	Abyssocypris	Abyssocypris adunca	Esker, 1968	Esker III, G. (1968). Danian ostracodes from Tunisia. Micropaleontology. 14(3):319-333.	
Bythocypris alejo		908/348	Y	776772.0	Bythocypris alejo (Reyment, 1963) 	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris alejo	Reyment, 1963	Reyment, R.A. (1963a) Studies on Nigerian Upper Cretaceous and Lower Tertiary Ostracoda. Part 2: Danian, Paleocene and Eocene Ostracoda. Acta Universitatis Stockholmiensis, Stockholm Contributions in Geology 10, 1–286.	
Bythocypris arcuata 		511	Y	776773.0	Bythocypris arcuata (Muenster, 1830)	Podocopida    	Bythocytheridae	Bythocypris 	Bythocypris arcuata	Münster, 1830	Münster, G. (1830). Über einige fossile Arten Cypris (Müller, Lamk.) und Cythere (Müller, Latreille, Desmarest). Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde. 1: 60-67.	
