# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Occurrence records extracted from EMO occurrence_record.csv.
# ----------------------------------------------------------------------

ORID	Accepted Name	Superorder	Order	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Taxon name	Identifier	Synonym	Image	Type locality and horizon & Stratigraphical range	Description	Diagnosis	Remarks	Ecology	Dimensions(L*W*H)	Location	Sample site	Latitude(N>0)	Longitude(E>0)	Group	Formation	Member	Epoch	Epoch subdivision	Stage	Min Age (Ma)	Max Age (Ma)	Depositional Environment	Lithology	Specimen	Source File	Remarks.1
51											Paracosta crassireticulata fayoumensis										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
52											Trachyleberis nodosus nodosulcatus										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
53											Xestoleberis subglobosa										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
54											Digmocythere ismaili										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
55											Novocypris eocenana										Fayoum area, Egypt		29.6	30.6		Qasr El Sagha		Eocene	Late				shallow water	mudstone,claystone,sandstone,limestone		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
56											Loxoconcha bassionii										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
57											Pterygocythereis minor										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
58											Asymmetricythere asymmetrella										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
59											Paracosta humboldti										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
60											Asymmetricythere hiltermanni										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
61											Grinioneis haidingeri										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
62											Asymmetricythere yousefi										Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
63											Cytherella compressa										Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
64											Cytherella compressa										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
65											Leguminocythereis sadeki										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
66											Cativella qurnenis										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
67											Paracosta ducassae										Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
68											Paracosta ducassae										Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
